Year,Age,Ethnic,Sex,Area,count
2013,85-89 years,Total people,Total people - sex,Auckland Region,12726
2013,90-94 years,European,Male,Auckland Region,1443
2013,90-94 years,European,Female,Auckland Region,3375
2013,90-94 years,European,Total people - sex,Auckland Region,4818
2013,90-94 years,Maori,Male,Auckland Region,15
2013,90-94 years,Maori,Female,Auckland Region,33
2013,90-94 years,Maori,Total people - sex,Auckland Region,45
2013,90-94 years,Pacific Peoples,Male,Auckland Region,39
2013,90-94 years,Pacific Peoples,Female,Auckland Region,90
2013,90-94 years,Pacific Peoples,Total people - sex,Auckland Region,132
2013,90-94 years,Asian,Male,Auckland Region,66
2013,90-94 years,Asian,Female,Auckland Region,135
2013,90-94 years,Asian,Total people - sex,Auckland Region,201
2013,90-94 years,Middle Eastern/Latin American/African,Male,Auckland Region,6
2013,90-94 years,Middle Eastern/Latin American/African,Female,Auckland Region,12
2013,90-94 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,18
2013,90-94 years,Other ethnicity,Male,Auckland Region,9
2013,90-94 years,Other ethnicity,Female,Auckland Region,18
2013,90-94 years,Other ethnicity,Total people - sex,Auckland Region,27
2013,90-94 years,Not elsewhere included,Male,Auckland Region,87
2013,90-94 years,Not elsewhere included,Female,Auckland Region,156
2013,90-94 years,Not elsewhere included,Total people - sex,Auckland Region,243
2013,90-94 years,Total people,Male,Auckland Region,1644
2013,90-94 years,Total people,Female,Auckland Region,3804
2013,90-94 years,Total people,Total people - sex,Auckland Region,5448
2013,95-99 years,European,Male,Auckland Region,261
2013,95-99 years,European,Female,Auckland Region,855
2013,95-99 years,European,Total people - sex,Auckland Region,1116
2013,95-99 years,Maori,Male,Auckland Region,3
2013,95-99 years,Maori,Female,Auckland Region,12
2013,95-99 years,Maori,Total people - sex,Auckland Region,15
2013,95-99 years,Pacific Peoples,Male,Auckland Region,0
2013,95-99 years,Pacific Peoples,Female,Auckland Region,21
2013,95-99 years,Pacific Peoples,Total people - sex,Auckland Region,21
